%###############################################################
%               Frequency                        |S11|
%                                            insertion loss
%                 (GHz)                           (dB)
%###############################################################
                  28.059                      -1.8099014
                  28.062                      -1.8098407
                  28.065                      -1.8097816
                  28.068                       -1.809724
                  28.071                      -1.8096681
                  28.074                      -1.8096137
                  28.077                       -1.809561
                   28.08                      -1.8095098
                  28.083                      -1.8094602
                  28.086                      -1.8094121
                  28.089                      -1.8093656
                  28.092                      -1.8093207
                  28.095                      -1.8092773
                  28.098                      -1.8092355
                  28.101                      -1.8091952
                  28.104                      -1.8091565
                  28.107                      -1.8091193
                   28.11                      -1.8090836
                  28.113                      -1.8090495
                  28.116                      -1.8090169
                  28.119                      -1.8089859
                  28.122                      -1.8089564
                  28.125                      -1.8089284
                  28.128                      -1.8089019
                  28.131                      -1.8088769
                  28.134                      -1.8088535
                  28.137                      -1.8088316
                   28.14                      -1.8088111
                  28.143                      -1.8087922
                  28.146                      -1.8087748
                  28.149                      -1.8087589
                  28.152                      -1.8087446
                  28.155                      -1.8087317
                  28.158                      -1.8087203
                  28.161                      -1.8087104
                  28.164                       -1.808702
                  28.167                      -1.8086952
                   28.17                      -1.8086898
                  28.173                      -1.8086859
                  28.176                      -1.8086835
                  28.179                      -1.8086826
                  28.182                      -1.8086831
                  28.185                      -1.8086852
                  28.188                      -1.8086888
                  28.191                      -1.8086938
                  28.194                      -1.8087004
                  28.197                      -1.8087084
                    28.2                      -1.8087179
                  28.203                      -1.8087289
                  28.206                      -1.8087414
                  28.209                      -1.8087554
                  28.212                      -1.8087709
                  28.215                      -1.8087878
                  28.218                      -1.8088062
                  28.221                      -1.8088261
                  28.224                      -1.8088475
                  28.227                      -1.8088704
                   28.23                      -1.8088948
                  28.233                      -1.8089206
                  28.236                       -1.808948
                  28.239                      -1.8089768
                  28.242                      -1.8090071
                  28.245                      -1.8090389
                  28.248                      -1.8090721
                  28.251                      -1.8091069
                  28.254                      -1.8091431
                  28.257                      -1.8091808
                   28.26                        -1.80922
                  28.263                      -1.8092606
                  28.266                      -1.8093028
                  28.269                      -1.8093464
                  28.272                      -1.8093915
                  28.275                      -1.8094381
                  28.278                      -1.8094862
                  28.281                      -1.8095357
                  28.284                      -1.8095868
                  28.287                      -1.8096393
                   28.29                      -1.8096933
                  28.293                      -1.8097487
                  28.296                      -1.8098056
                  28.299                      -1.8098641
                  28.302                      -1.8099239
                  28.305                      -1.8099853
                  28.308                      -1.8100481
                  28.311                      -1.8101124
                  28.314                      -1.8101782
                  28.317                      -1.8102454
                   28.32                      -1.8103141
                  28.323                      -1.8103843
                  28.326                      -1.8104559
                  28.329                       -1.810529
                  28.332                      -1.8106036
                  28.335                      -1.8106796
                  28.338                       -1.810757
                  28.341                       -1.810836
                  28.344                      -1.8109163
                  28.347                      -1.8109981
                   28.35                      -1.8110814
                  28.353                      -1.8111661
                  28.356                      -1.8112522
                  28.359                      -1.8113398
                  28.362                      -1.8114288
                  28.365                      -1.8115193
                  28.368                      -1.8116111
                  28.371                      -1.8117044
                  28.374                      -1.8117991
                  28.377                      -1.8118952
                   28.38                      -1.8119927
                  28.383                      -1.8120916
                  28.386                       -1.812192
                  28.389                      -1.8122937
                  28.392                      -1.8123968
                  28.395                      -1.8125012
