%###############################################################
%               Frequency                        |S11|
%                                             return loss
%                 (GHz)                           (dB)
%###############################################################
                  28.107                      -29.651073
                   28.11                       -29.72897
                  28.113                      -29.807513
                  28.116                      -29.886713
                  28.119                      -29.966585
                  28.122                       -30.04714
                  28.125                      -30.128393
                  28.128                      -30.210357
                  28.131                      -30.293048
                  28.134                      -30.376479
                  28.137                      -30.460666
                   28.14                      -30.545624
                  28.143                      -30.631369
                  28.146                      -30.717919
                  28.149                      -30.805288
                  28.152                      -30.893496
                  28.155                       -30.98256
                  28.158                      -31.072498
                  28.161                       -31.16333
                  28.164                      -31.255074
                  28.167                      -31.347751
                   28.17                      -31.441383
                  28.173                      -31.535989
                  28.176                      -31.631593
                  28.179                      -31.728217
                  28.182                      -31.825885
                  28.185                      -31.924621
                  28.188                      -32.024449
                  28.191                      -32.125397
                  28.194                       -32.22749
                  28.197                      -32.330757
                    28.2                      -32.435226
                  28.203                      -32.540927
                  28.206                      -32.647891
                  28.209                      -32.756148
                  28.212                      -32.865733
                  28.215                       -32.97668
                  28.218                      -33.089024
                  28.221                      -33.202801
                  28.224                       -33.31805
                  28.227                      -33.434811
                   28.23                      -33.553126
                  28.233                      -33.673036
                  28.236                      -33.794586
                  28.239                      -33.917824
                  28.242                      -34.042797
                  28.245                      -34.169557
                  28.248                      -34.298155
                  28.251                      -34.428646
                  28.254                      -34.561089
                  28.257                      -34.695542
                   28.26                       -34.83207
                  28.263                      -34.970737
                  28.266                      -35.111611
                  28.269                      -35.254767
                  28.272                      -35.400278
                  28.275                      -35.548224
                  28.278                      -35.698689
                  28.281                       -35.85176
                  28.284                       -36.00753
                  28.287                      -36.166096
                   28.29                       -36.32756
                  28.293                      -36.492031
                  28.296                      -36.659623
                  28.299                      -36.830458
                  28.302                      -37.004662
                  28.305                      -37.182372
                  28.308                      -37.363733
                  28.311                      -37.548897
                  28.314                      -37.738027
                  28.317                      -37.931298
                   28.32                      -38.128894
                  28.323                      -38.331014
                  28.326                       -38.53787
                  28.329                      -38.749689
                  28.332                      -38.966715
                  28.335                      -39.189211
                  28.338                       -39.41746
                  28.341                      -39.651767
                  28.344                      -39.892462
                  28.347                      -40.139906
                   28.35                      -40.394485
                  28.353                      -40.656626
                  28.356                      -40.926791
                  28.359                      -41.205489
                  28.362                      -41.493275
                  28.365                      -41.790765
                  28.368                      -42.098636
                  28.371                      -42.417641
                  28.374                      -42.748617
                  28.377                        -43.0925
                   28.38                      -43.450341
                  28.383                      -43.823323
                  28.386                      -44.212789
                  28.389                      -44.620267
                  28.392                      -45.047511
                  28.395                      -45.496542
                  28.398                      -45.969711
                  28.401                       -46.46977
                  28.404                      -46.999971
                  28.407                      -47.564196
                   28.41                      -48.167128
                  28.413                      -48.814492
                  28.416                      -49.513383
                  28.419                      -50.272746
                  28.422                      -51.104077
                  28.425                      -52.022495
                  28.428                      -53.048442
                  28.431                       -54.21051
                  28.434                      -55.550429
                  28.437                      -57.132542
