%###############################################################
%               Frequency                        |S41|
%                                              isolation
%                 (GHz)                           (dB)
%###############################################################
                  28.167                      -42.064649
                   28.17                      -42.073547
                  28.173                      -42.082342
                  28.176                      -42.091033
                  28.179                       -42.09962
                  28.182                      -42.108103
                  28.185                      -42.116482
                  28.188                      -42.124756
                  28.191                      -42.132924
                  28.194                      -42.140988
                  28.197                      -42.148945
                    28.2                      -42.156797
                  28.203                      -42.164543
                  28.206                      -42.172182
                  28.209                      -42.179715
                  28.212                      -42.187141
                  28.215                      -42.194461
                  28.218                      -42.201673
                  28.221                      -42.208778
                  28.224                      -42.215775
                  28.227                      -42.222665
                   28.23                      -42.229448
                  28.233                      -42.236123
                  28.236                       -42.24269
                  28.239                      -42.249149
                  28.242                        -42.2555
                  28.245                      -42.261743
                  28.248                      -42.267878
                  28.251                      -42.273905
                  28.254                      -42.279825
                  28.257                      -42.285636
                   28.26                      -42.291339
                  28.263                      -42.296935
                  28.266                      -42.302422
                  28.269                      -42.307802
                  28.272                      -42.313074
                  28.275                      -42.318239
                  28.278                      -42.323296
                  28.281                      -42.328246
                  28.284                      -42.333089
                  28.287                      -42.337826
                   28.29                      -42.342455
                  28.293                      -42.346978
                  28.296                      -42.351395
                  28.299                      -42.355705
                  28.302                       -42.35991
                  28.305                       -42.36401
                  28.308                      -42.368004
                  28.311                      -42.371893
                  28.314                      -42.375678
                  28.317                      -42.379359
                   28.32                      -42.382936
                  28.323                       -42.38641
                  28.326                       -42.38978
                  28.329                      -42.393048
                  28.332                      -42.396214
                  28.335                      -42.399278
                  28.338                      -42.402241
                  28.341                      -42.405103
                  28.344                      -42.407865
                  28.347                      -42.410527
                   28.35                      -42.413089
                  28.353                      -42.415553
                  28.356                      -42.417919
                  28.359                      -42.420188
                  28.362                      -42.422359
                  28.365                      -42.424434
                  28.368                      -42.426413
                  28.371                      -42.428298
                  28.374                      -42.430087
                  28.377                      -42.431784
                   28.38                      -42.433386
                  28.383                      -42.434897
                  28.386                      -42.436316
                  28.389                      -42.437644
                  28.392                      -42.438882
                  28.395                       -42.44003
                  28.398                       -42.44109
                  28.401                      -42.442062
                  28.404                      -42.442946
                  28.407                      -42.443745
                   28.41                      -42.444458
                  28.413                      -42.445086
                  28.416                       -42.44563
                  28.419                      -42.446092
                  28.422                      -42.446472
                  28.425                       -42.44677
                  28.428                      -42.446988
                  28.431                      -42.447127
                  28.434                      -42.447187
                  28.437                      -42.447169
                   28.44                      -42.447075
                  28.443                      -42.446906
                  28.446                      -42.446661
                  28.449                      -42.446343
                  28.452                      -42.445952
                  28.455                      -42.445489
                  28.458                      -42.444956
                  28.461                      -42.444352
                  28.464                       -42.44368
                  28.467                      -42.442939
                   28.47                      -42.442132
                  28.473                      -42.441259
                  28.476                      -42.440321
                  28.479                       -42.43932
                  28.482                      -42.438255
                  28.485                      -42.437129
                  28.488                      -42.435942
                  28.491                      -42.434696
                  28.494                      -42.433391
                  28.497                      -42.432028
                    28.5                      -42.430609
                  28.503                      -42.429135
                  28.506                      -42.427606
                  28.509                      -42.426024
                  28.512                      -42.424389
                  28.515                      -42.422704
                  28.518                      -42.420968
                  28.521                      -42.419183
                  28.524                       -42.41735
                  28.527                       -42.41547
                   28.53                      -42.413545
                  28.533                      -42.411574
                  28.536                       -42.40956
                  28.539                      -42.407503
                  28.542                      -42.405404
                  28.545                      -42.403264
                  28.548                      -42.401085
                  28.551                      -42.398867
                  28.554                      -42.396612
                  28.557                      -42.394321
                   28.56                      -42.391993
                  28.563                      -42.389632
                  28.566                      -42.387237
                  28.569                      -42.384809
                  28.572                       -42.38235
                  28.575                      -42.379861
                  28.578                      -42.377342
                  28.581                      -42.374794
                  28.584                       -42.37222
                  28.587                      -42.369618
                   28.59                      -42.366991
                  28.593                       -42.36434
                  28.596                      -42.361664
                  28.599                      -42.358966
                  28.602                      -42.356246
                  28.605                      -42.353505
                  28.608                      -42.350745
