%###############################################################
%               Frequency                        |S11|
%                                             return loss
%                 (GHz)                           (dB)
%###############################################################
                   28.02                      -20.811536
                  28.023                      -20.811904
                  28.026                      -20.812266
                  28.029                       -20.81262
                  28.032                      -20.812968
                  28.035                      -20.813309
                  28.038                      -20.813643
                  28.041                      -20.813972
                  28.044                      -20.814296
                  28.047                      -20.814615
                   28.05                       -20.81493
                  28.053                      -20.815242
                  28.056                      -20.815552
                  28.059                      -20.815859
                  28.062                      -20.816166
                  28.065                      -20.816473
                  28.068                      -20.816781
                  28.071                      -20.817092
                  28.074                      -20.817406
                  28.077                      -20.817725
                   28.08                       -20.81805
                  28.083                      -20.818381
                  28.086                      -20.818722
                  28.089                      -20.819072
                  28.092                      -20.819432
                  28.095                      -20.819806
                  28.098                      -20.820192
                  28.101                      -20.820593
                  28.104                      -20.821011
                  28.107                      -20.821445
                   28.11                      -20.821896
                  28.113                      -20.822367
                  28.116                      -20.822858
                  28.119                      -20.823369
                  28.122                      -20.823901
                  28.125                      -20.824455
                  28.128                      -20.825031
                  28.131                      -20.825629
                  28.134                       -20.82625
                  28.137                      -20.826894
                   28.14                      -20.827561
                  28.143                       -20.82825
                  28.146                      -20.828962
                  28.149                      -20.829697
                  28.152                      -20.830453
                  28.155                       -20.83123
                  28.158                      -20.832029
                  28.161                      -20.832848
                  28.164                      -20.833687
                  28.167                      -20.834545
                   28.17                      -20.835421
                  28.173                      -20.836316
                  28.176                      -20.837227
                  28.179                      -20.838155
                  28.182                      -20.839099
                  28.185                      -20.840058
                  28.188                      -20.841031
                  28.191                      -20.842018
                  28.194                      -20.843018
                  28.197                      -20.844031
                    28.2                      -20.845055
                  28.203                       -20.84609
                  28.206                      -20.847137
                  28.209                      -20.848193
                  28.212                      -20.849259
                  28.215                      -20.850334
                  28.218                      -20.851417
                  28.221                      -20.852509
                  28.224                      -20.853609
                  28.227                      -20.854717
                   28.23                      -20.855832
                  28.233                      -20.856954
                  28.236                      -20.858083
                  28.239                      -20.859218
                  28.242                       -20.86036
                  28.245                      -20.861507
                  28.248                      -20.862661
                  28.251                      -20.863821
                  28.254                      -20.864986
                  28.257                      -20.866157
                   28.26                      -20.867333
                  28.263                      -20.868515
                  28.266                      -20.869703
                  28.269                      -20.870896
                  28.272                      -20.872094
                  28.275                      -20.873297
                  28.278                      -20.874506
                  28.281                      -20.875721
                  28.284                       -20.87694
                  28.287                      -20.878166
                   28.29                      -20.879396
                  28.293                      -20.880633
                  28.296                      -20.881874
                  28.299                      -20.883122
                  28.302                      -20.884375
                  28.305                      -20.885634
                  28.308                      -20.886899
                  28.311                      -20.888169
                  28.314                      -20.889446
                  28.317                      -20.890729
                   28.32                      -20.892018
                  28.323                      -20.893313
                  28.326                      -20.894615
                  28.329                      -20.895923
                  28.332                      -20.897237
                  28.335                      -20.898559
                  28.338                      -20.899887
                  28.341                      -20.901222
                  28.344                      -20.902563
                  28.347                      -20.903912
                   28.35                      -20.905268
                  28.353                      -20.906631
                  28.356                      -20.908002
                  28.359                       -20.90938
                  28.362                      -20.910766
                  28.365                      -20.912159
                  28.368                       -20.91356
                  28.371                      -20.914968
                  28.374                      -20.916385
                  28.377                       -20.91781
                   28.38                      -20.919242
                  28.383                      -20.920683
                  28.386                      -20.922133
                  28.389                       -20.92359
                  28.392                      -20.925056
                  28.395                      -20.926531
                  28.398                      -20.928015
                  28.401                      -20.929507
                  28.404                      -20.931008
                  28.407                      -20.932518
                   28.41                      -20.934037
                  28.413                      -20.935565
                  28.416                      -20.937102
                  28.419                      -20.938648
                  28.422                      -20.940204
                  28.425                      -20.941769
                  28.428                      -20.943344
                  28.431                      -20.944928
                  28.434                      -20.946521
                  28.437                      -20.948125
                   28.44                      -20.949738
                  28.443                      -20.951361
                  28.446                      -20.952994
                  28.449                      -20.954637
                  28.452                       -20.95629
                  28.455                      -20.957953
                  28.458                      -20.959626
                  28.461                       -20.96131
                  28.464                      -20.963003
                  28.467                      -20.964707
                   28.47                      -20.966422
                  28.473                      -20.968146
                  28.476                      -20.969882
                  28.479                      -20.971628
                  28.482                      -20.973384
                  28.485                      -20.975151
                  28.488                      -20.976929
                  28.491                      -20.978717
                  28.494                      -20.980516
                  28.497                      -20.982326
                    28.5                      -20.984147
                  28.503                      -20.985978
                  28.506                      -20.987821
                  28.509                      -20.989674
                  28.512                      -20.991538
                  28.515                      -20.993414
                  28.518                        -20.9953
                  28.521                      -20.997198
                  28.524                      -20.999106
                  28.527                      -21.001026
                   28.53                      -21.002957
                  28.533                      -21.004898
                  28.536                      -21.006851
                  28.539                      -21.008816
                  28.542                      -21.010791
                  28.545                      -21.012778
                  28.548                      -21.014775
                  28.551                      -21.016784
                  28.554                      -21.018805
                  28.557                      -21.020836
                   28.56                      -21.022879
                  28.563                      -21.024933
                  28.566                      -21.026998
                  28.569                      -21.029074
                  28.572                      -21.031162
                  28.575                      -21.033261
                  28.578                      -21.035371
                  28.581                      -21.037493
                  28.584                      -21.039625
                  28.587                      -21.041769
                   28.59                      -21.043924
                  28.593                       -21.04609
                  28.596                      -21.048267
                  28.599                      -21.050456
                  28.602                      -21.052656
                  28.605                      -21.054866
                  28.608                      -21.057088
                  28.611                      -21.059321
                  28.614                      -21.061565
                  28.617                       -21.06382
                   28.62                      -21.066086
                  28.623                      -21.068362
                  28.626                       -21.07065
                  28.629                      -21.072949
                  28.632                      -21.075258
                  28.635                      -21.077578
                  28.638                      -21.079909
                  28.641                      -21.082251
                  28.644                      -21.084603
                  28.647                      -21.086966
                   28.65                       -21.08934
                  28.653                      -21.091724
                  28.656                      -21.094119
                  28.659                      -21.096524
                  28.662                      -21.098939
                  28.665                      -21.101365
                  28.668                      -21.103801
                  28.671                      -21.106248
                  28.674                      -21.108704
                  28.677                      -21.111171
                   28.68                      -21.113647
                  28.683                      -21.116134
                  28.686                       -21.11863
                  28.689                      -21.121136
                  28.692                      -21.123652
                  28.695                      -21.126178
                  28.698                      -21.128714
                  28.701                      -21.131259
                  28.704                      -21.133813
                  28.707                      -21.136377
                   28.71                       -21.13895
                  28.713                      -21.141532
                  28.716                      -21.144124
                  28.719                      -21.146725
                  28.722                      -21.149334
                  28.725                      -21.151953
                  28.728                       -21.15458
                  28.731                      -21.157216
                  28.734                      -21.159861
                  28.737                      -21.162514
                   28.74                      -21.165176
                  28.743                      -21.167846
                  28.746                      -21.170524
                  28.749                      -21.173211
                  28.752                      -21.175905
                  28.755                      -21.178608
                  28.758                      -21.181318
                  28.761                      -21.184037
                  28.764                      -21.186763
                  28.767                      -21.189496
                   28.77                      -21.192237
                  28.773                      -21.194985
                  28.776                      -21.197741
                  28.779                      -21.200503
                  28.782                      -21.203273
                  28.785                      -21.206049
                  28.788                      -21.208833
                  28.791                      -21.211623
                  28.794                      -21.214419
                  28.797                      -21.217222
                    28.8                      -21.220032
                  28.803                      -21.222847
                  28.806                      -21.225669
                  28.809                      -21.228497
                  28.812                       -21.23133
                  28.815                      -21.234169
                  28.818                      -21.237014
                  28.821                      -21.239864
                  28.824                       -21.24272
                  28.827                      -21.245581
                   28.83                      -21.248447
                  28.833                      -21.251317
                  28.836                      -21.254193
                  28.839                      -21.257074
                  28.842                      -21.259958
                  28.845                      -21.262848
                  28.848                      -21.265742
                  28.851                      -21.268639
                  28.854                      -21.271541
                  28.857                      -21.274447
                   28.86                      -21.277357
                  28.863                       -21.28027
                  28.866                      -21.283186
                  28.869                      -21.286106
                  28.872                       -21.28903
                  28.875                      -21.291956
                  28.878                      -21.294885
                  28.881                      -21.297817
                  28.884                      -21.300752
                  28.887                      -21.303689
                   28.89                      -21.306629
                  28.893                       -21.30957
                  28.896                      -21.312514
                  28.899                       -21.31546
                  28.902                      -21.318407
                  28.905                      -21.321357
                  28.908                      -21.324307
                  28.911                      -21.327259
                  28.914                      -21.330213
                  28.917                      -21.333167
                   28.92                      -21.336122
                  28.923                      -21.339078
                  28.926                      -21.342035
                  28.929                      -21.344992
                  28.932                       -21.34795
                  28.935                      -21.350907
                  28.938                      -21.353865
                  28.941                      -21.356823
                  28.944                       -21.35978
                  28.947                      -21.362737
                   28.95                      -21.365693
                  28.953                      -21.368649
                  28.956                      -21.371604
                  28.959                      -21.374558
                  28.962                       -21.37751
                  28.965                      -21.380462
                  28.968                      -21.383412
                  28.971                       -21.38636
                  28.974                      -21.389307
                  28.977                      -21.392252
                   28.98                      -21.395195
                  28.983                      -21.398136
                  28.986                      -21.401074
                  28.989                       -21.40401
                  28.992                      -21.406943
                  28.995                      -21.409874
                  28.998                      -21.412802
                  29.001                      -21.415726
                  29.004                      -21.418648
                  29.007                      -21.421566
                   29.01                      -21.424481
                  29.013                      -21.427392
                  29.016                      -21.430299
                  29.019                      -21.433203
                  29.022                      -21.436102
                  29.025                      -21.438998
                  29.028                      -21.441889
                  29.031                      -21.444775
                  29.034                      -21.447657
                  29.037                      -21.450534
                   29.04                      -21.453407
                  29.043                      -21.456274
                  29.046                      -21.459137
                  29.049                      -21.461994
                  29.052                      -21.464846
                  29.055                      -21.467692
                  29.058                      -21.470532
                  29.061                      -21.473367
                  29.064                      -21.476196
                  29.067                      -21.479019
                   29.07                      -21.481835
                  29.073                      -21.484646
                  29.076                       -21.48745
                  29.079                      -21.490247
                  29.082                      -21.493038
                  29.085                      -21.495822
                  29.088                      -21.498599
                  29.091                      -21.501368
                  29.094                      -21.504131
                  29.097                      -21.506887
                    29.1                      -21.509635
                  29.103                      -21.512375
                  29.106                      -21.515108
                  29.109                      -21.517834
                  29.112                      -21.520551
                  29.115                       -21.52326
                  29.118                      -21.525962
                  29.121                      -21.528655
                  29.124                       -21.53134
                  29.127                      -21.534016
                   29.13                      -21.536684
                  29.133                      -21.539344
                  29.136                      -21.541994
                  29.139                      -21.544636
                  29.142                      -21.547269
                  29.145                      -21.549893
                  29.148                      -21.552508
                  29.151                      -21.555113
                  29.154                       -21.55771
                  29.157                      -21.560297
                   29.16                      -21.562874
                  29.163                      -21.565442
                  29.166                         -21.568
                  29.169                      -21.570549
                  29.172                      -21.573087
                  29.175                      -21.575616
                  29.178                      -21.578135
                  29.181                      -21.580644
                  29.184                      -21.583142
                  29.187                      -21.585631
                   29.19                      -21.588109
                  29.193                      -21.590576
                  29.196                      -21.593034
                  29.199                       -21.59548
                  29.202                      -21.597916
                  29.205                      -21.600342
                  29.208                      -21.602757
                  29.211                      -21.605161
                  29.214                      -21.607554
                  29.217                      -21.609936
                   29.22                      -21.612307
                  29.223                      -21.614668
                  29.226                      -21.617017
                  29.229                      -21.619355
                  29.232                      -21.621682
                  29.235                      -21.623998
                  29.238                      -21.626302
                  29.241                      -21.628595
                  29.244                      -21.630877
                  29.247                      -21.633147
                   29.25                      -21.635406
                  29.253                      -21.637654
                  29.256                       -21.63989
                  29.259                      -21.642114
                  29.262                      -21.644327
                  29.265                      -21.646528
                  29.268                      -21.648718
                  29.271                      -21.650896
                  29.274                      -21.653062
                  29.277                      -21.655216
                   29.28                      -21.657359
                  29.283                       -21.65949
                  29.286                      -21.661609
                  29.289                      -21.663716
                  29.292                      -21.665812
                  29.295                      -21.667896
                  29.298                      -21.669968
                  29.301                      -21.672028
                  29.304                      -21.674076
                  29.307                      -21.676112
                   29.31                      -21.678137
                  29.313                       -21.68015
                  29.316                       -21.68215
                  29.319                      -21.684139
                  29.322                      -21.686116
                  29.325                      -21.688082
                  29.328                      -21.690035
                  29.331                      -21.691977
                  29.334                      -21.693906
                  29.337                      -21.695824
                   29.34                       -21.69773
                  29.343                      -21.699625
                  29.346                      -21.701507
                  29.349                      -21.703378
                  29.352                      -21.705237
                  29.355                      -21.707085
                  29.358                      -21.708921
                  29.361                      -21.710745
                  29.364                      -21.712557
                  29.367                      -21.714358
                   29.37                      -21.716147
                  29.373                      -21.717925
                  29.376                      -21.719692
                  29.379                      -21.721446
                  29.382                       -21.72319
                  29.385                      -21.724922
                  29.388                      -21.726643
                  29.391                      -21.728352
                  29.394                       -21.73005
                  29.397                      -21.731738
                    29.4                      -21.733413
                  29.403                      -21.735078
                  29.406                      -21.736732
                  29.409                      -21.738375
                  29.412                      -21.740006
                  29.415                      -21.741627
                  29.418                      -21.743237
                  29.421                      -21.744836
                  29.424                      -21.746425
                  29.427                      -21.748003
                   29.43                       -21.74957
                  29.433                      -21.751127
                  29.436                      -21.752673
                  29.439                      -21.754209
                  29.442                      -21.755734
                  29.445                      -21.757249
                  29.448                      -21.758754
                  29.451                      -21.760249
                  29.454                      -21.761734
                  29.457                      -21.763208
                   29.46                      -21.764673
                  29.463                      -21.766128
                  29.466                      -21.767573
                  29.469                      -21.769009
                  29.472                      -21.770435
                  29.475                      -21.771851
                  29.478                      -21.773258
                  29.481                      -21.774655
                  29.484                      -21.776043
                  29.487                      -21.777422
                   29.49                      -21.778792
                  29.493                      -21.780152
                  29.496                      -21.781504
                  29.499                      -21.782847
                  29.502                       -21.78418
                  29.505                      -21.785506
                  29.508                      -21.786822
                  29.511                       -21.78813
                  29.514                      -21.789429
                  29.517                       -21.79072
                   29.52                      -21.792003
                  29.523                      -21.793277
                  29.526                      -21.794544
                  29.529                      -21.795802
                  29.532                      -21.797052
                  29.535                      -21.798295
                  29.538                      -21.799529
                  29.541                      -21.800756
                  29.544                      -21.801976
                  29.547                      -21.803187
                   29.55                      -21.804392
                  29.553                      -21.805589
                  29.556                      -21.806778
                  29.559                      -21.807961
                  29.562                      -21.809136
                  29.565                      -21.810305
                  29.568                      -21.811466
                  29.571                      -21.812621
                  29.574                      -21.813769
                  29.577                       -21.81491
                   29.58                      -21.816044
                  29.583                      -21.817173
                  29.586                      -21.818294
                  29.589                       -21.81941
                  29.592                      -21.820519
                  29.595                      -21.821621
                  29.598                      -21.822718
                  29.601                      -21.823809
                  29.604                      -21.824894
                  29.607                      -21.825973
                   29.61                      -21.827046
                  29.613                      -21.828113
                  29.616                      -21.829175
                  29.619                      -21.830232
                  29.622                      -21.831282
                  29.625                      -21.832328
                  29.628                      -21.833368
                  29.631                      -21.834402
                  29.634                      -21.835432
                  29.637                      -21.836456
                   29.64                      -21.837475
                  29.643                      -21.838489
                  29.646                      -21.839498
                  29.649                      -21.840502
                  29.652                      -21.841502
                  29.655                      -21.842496
                  29.658                      -21.843486
                  29.661                      -21.844471
                  29.664                      -21.845451
                  29.667                      -21.846427
                   29.67                      -21.847398
                  29.673                      -21.848365
                  29.676                      -21.849327
                  29.679                      -21.850284
                  29.682                      -21.851237
                  29.685                      -21.852186
                  29.688                       -21.85313
                  29.691                       -21.85407
                  29.694                      -21.855006
                  29.697                      -21.855937
                    29.7                      -21.856864
                  29.703                      -21.857787
                  29.706                      -21.858706
                  29.709                       -21.85962
                  29.712                       -21.86053
                  29.715                      -21.861436
                  29.718                      -21.862337
                  29.721                      -21.863235
                  29.724                      -21.864128
                  29.727                      -21.865016
                   29.73                      -21.865901
                  29.733                      -21.866781
                  29.736                      -21.867657
                  29.739                      -21.868528
                  29.742                      -21.869395
                  29.745                      -21.870258
                  29.748                      -21.871116
                  29.751                       -21.87197
                  29.754                      -21.872819
                  29.757                      -21.873664
                   29.76                      -21.874504
                  29.763                       -21.87534
                  29.766                       -21.87617
                  29.769                      -21.876996
                  29.772                      -21.877817
                  29.775                      -21.878633
                  29.778                      -21.879444
                  29.781                       -21.88025
                  29.784                       -21.88105
                  29.787                      -21.881846
                   29.79                      -21.882636
                  29.793                       -21.88342
                  29.796                      -21.884199
                  29.799                      -21.884973
                  29.802                       -21.88574
                  29.805                      -21.886502
                  29.808                      -21.887257
                  29.811                      -21.888007
                  29.814                      -21.888749
                  29.817                      -21.889486
                   29.82                      -21.890216
                  29.823                      -21.890939
                  29.826                      -21.891655
                  29.829                      -21.892365
                  29.832                      -21.893066
                  29.835                      -21.893761
                  29.838                      -21.894448
                  29.841                      -21.895127
                  29.844                      -21.895798
                  29.847                      -21.896461
                   29.85                      -21.897116
                  29.853                      -21.897762
                  29.856                      -21.898399
                  29.859                      -21.899028
                  29.862                      -21.899647
                  29.865                      -21.900256
                  29.868                      -21.900856
                  29.871                      -21.901446
                  29.874                      -21.902026
                  29.877                      -21.902595
                   29.88                      -21.903154
                  29.883                      -21.903701
                  29.886                      -21.904238
                  29.889                      -21.904762
                  29.892                      -21.905275
                  29.895                      -21.905776
                  29.898                      -21.906265
                  29.901                       -21.90674
                  29.904                      -21.907203
                  29.907                      -21.907652
                   29.91                      -21.908088
                  29.913                      -21.908509
                  29.916                      -21.908916
                  29.919                      -21.909309
                  29.922                      -21.909686
                  29.925                      -21.910048
                  29.928                      -21.910393
                  29.931                      -21.910723
                  29.934                      -21.911036
                  29.937                      -21.911333
                   29.94                      -21.911611
                  29.943                      -21.911872
                  29.946                      -21.912115
                  29.949                      -21.912339
                  29.952                      -21.912544
                  29.955                       -21.91273
                  29.958                      -21.912896
                  29.961                      -21.913041
                  29.964                      -21.913165
                  29.967                      -21.913268
                   29.97                       -21.91335
                  29.973                      -21.913409
                  29.976                      -21.913445
                  29.979                      -21.913458
                  29.982                      -21.913448
                  29.985                      -21.913413
                  29.988                      -21.913353
                  29.991                      -21.913268
                  29.994                      -21.913157
                  29.997                       -21.91302
                      30                      -21.912856


